operation,config,scale,num_sequences,loop_duration_s,iterations,sequences_processed,throughput_seqs_per_sec,timestamp
base_counting,naive,Small,1000,60.000,59753,59753000,995874.46,2025-11-03T12:44:50
base_counting,naive,Medium,10000,60.000,5849,58490000,974685.19,2025-11-03T12:45:55
base_counting,naive,Large,100000,60.000,586,58600000,975778.10,2025-11-03T12:47:01
base_counting,neon,Small,1000,60.000,1978508,1978508000,32975119.68,2025-11-03T12:48:06
base_counting,neon,Medium,10000,60.000,104229,1042290000,17371446.88,2025-11-03T12:49:11
base_counting,neon,Large,100000,60.000,10207,1020700000,17010382.98,2025-11-03T12:50:16
base_counting,neon_4t,Small,1000,60.000,2289502,2289502000,38158343.88,2025-11-03T12:51:22
base_counting,neon_4t,Medium,10000,60.000,260594,2605940000,43432245.30,2025-11-03T12:52:27
base_counting,neon_4t,Large,100000,60.000,26427,2642700000,44043858.52,2025-11-03T12:53:32
gc_content,naive,Small,1000,60.000,564815,564815000,9413579.79,2025-11-03T12:54:37
gc_content,naive,Medium,10000,60.000,56861,568610000,9476801.04,2025-11-03T12:55:42
gc_content,naive,Large,100000,60.000,5680,568000000,9465365.82,2025-11-03T12:56:48
gc_content,neon,Small,1000,60.000,5089184,5089184000,84819721.46,2025-11-03T12:57:53
gc_content,neon,Medium,10000,60.000,501325,5013250000,83554033.25,2025-11-03T12:58:58
gc_content,neon,Large,100000,60.000,45875,4587500000,76457147.09,2025-11-03T13:00:03
gc_content,neon_4t,Small,1000,60.000,2568126,2568126000,42802070.37,2025-11-03T13:01:08
gc_content,neon_4t,Medium,10000,60.000,327896,3278960000,54649144.98,2025-11-03T13:02:13
gc_content,neon_4t,Large,100000,60.000,32693,3269300000,54487621.70,2025-11-03T13:03:18
quality_aggregation,naive,Small,1000,60.000,1844149,1844149000,30735816.41,2025-11-03T13:04:24
quality_aggregation,naive,Medium,10000,60.000,184889,1848890000,30814699.19,2025-11-03T13:05:29
quality_aggregation,naive,Large,100000,60.000,18501,1850100000,30833576.09,2025-11-03T13:06:34
quality_aggregation,neon,Small,1000,60.000,4202660,4202660000,70044327.69,2025-11-03T13:07:39
quality_aggregation,neon,Medium,10000,60.000,440329,4403290000,73388069.85,2025-11-03T13:08:44
quality_aggregation,neon,Large,100000,60.000,41094,4109400000,68489933.26,2025-11-03T13:09:49
quality_aggregation,neon_4t,Small,1000,60.000,2458425,2458425000,40973735.80,2025-11-03T13:10:54
quality_aggregation,neon_4t,Medium,10000,60.000,297461,2974610000,49576643.17,2025-11-03T13:12:00
quality_aggregation,neon_4t,Large,100000,60.000,30123,3012300000,50203676.11,2025-11-03T13:13:05
