operation,config,scale,num_sequences,loop_duration_s,iterations,sequences_processed,throughput_seqs_per_sec,cpu_power_mw,cpu_power_w,energy_wh,energy_per_seq_uwh,time_speedup_vs_naive,energy_speedup_vs_naive,energy_efficiency,power_samples_count,timestamp
base_counting,naive,Medium,10000,60.001,8022,80220000,1336976.92,5712.121783876501,5.7121217838765,0.09520361643177051,0.0011867815561178074,1.0,1.0,1.0,583,2025-11-02T18:43:43
base_counting,neon,Medium,10000,60.0,134152,1341520000,22358644.08,12423.16551724138,12.42316551724138,0.20705275862068964,0.00015434190964032563,16.723290434638077,7.68930201060394,2.1748775651646675,580,2025-11-02T18:44:48
base_counting,neon_4t,Medium,10000,60.0,332385,3323850000,55397348.5,13340.7,13.3407,0.222345,6.689381289769394e-05,41.4348715719272,17.74127538421001,2.3355069280309366,580,2025-11-02T18:45:53
base_counting,neon_8t,Medium,10000,60.0,315842,3158420000,52640197.86,4322.374784110535,4.322374784110535,0.07203957973517558,2.2808739729097325e-05,39.37263326269426,52.031877701853865,0.7567021411047681,579,2025-11-02T18:46:58
base_counting,naive,Large,100000,60.005,780,78000000,1299883.45,4822.673611111111,4.822673611111111,0.08038459167631173,0.0010305716881578427,1.0,1.0,1.0,576,2025-11-02T18:48:04
base_counting,neon,Large,100000,60.004,11912,1191200000,19852070.2,13835.598615916955,13.835598615916956,0.2306086831526336,0.00019359358894613298,15.272049384741871,5.32337715193966,2.8688648105981462,578,2025-11-02T18:49:09
base_counting,neon_4t,Large,100000,60.001,40431,4043100000,67383842.59,14699.899305555555,14.699899305555554,0.24500240506462187,6.059766146388214e-05,51.838070968047965,17.0067897549494,3.0480808968054536,576,2025-11-02T18:50:14
base_counting,neon_8t,Large,100000,60.001,54785,5478500000,91307295.47,3691.2951388888887,3.6912951388888886,0.06152261100790894,1.122982769150478e-05,70.24186188777196,91.77092618593399,0.7654043040326005,576,2025-11-02T18:51:19
gc_content,naive,Medium,10000,60.0,8655,86550000,1442497.77,4504.790294627383,4.504790294627384,0.07507983824378972,0.0008674735787843989,1.0,1.0,1.0,577,2025-11-02T18:52:24
gc_content,neon,Medium,10000,60.0,148426,1484260000,24737511.28,12084.678260869565,12.084678260869564,0.20141130434782606,0.0001356981285946034,17.149162333911033,6.392671643807014,2.68262837346331,575,2025-11-02T18:53:29
gc_content,neon_4t,Medium,10000,60.0,373559,3735590000,62259812.02,12942.06239168111,12.942062391681109,0.2157010398613518,5.7742161174366514e-05,43.16106296938186,15.023226722755513,2.872955575116648,577,2025-11-02T18:54:34
gc_content,neon_8t,Medium,10000,60.0,331727,3317270000,55287794.75,3916.8700173310226,3.9168700173310227,0.06528116695551704,1.9679184074711148e-05,38.327787406123626,44.08076958328526,0.8694899787016632,577,2025-11-02T18:55:39
gc_content,naive,Large,100000,60.063,856,85600000,1425163.05,4236.4862542955325,4.236486254295532,0.07068224274770904,0.000825727134903143,1.0,1.0,1.0,582,2025-11-02T18:56:44
gc_content,neon,Large,100000,60.002,12918,1291800000,21529217.71,13165.650602409638,13.165650602409638,0.2194348242904953,0.0001698674905484559,15.106463624109724,4.861007437250617,3.1076816522325528,581,2025-11-02T18:57:49
gc_content,neon_4t,Large,100000,60.0,44629,4462900000,74381639.86,13853.558620689655,13.853558620689656,0.23089264367816092,5.1736011041735405e-05,52.19142575934579,15.960394283916274,3.2700586734214028,580,2025-11-02T18:58:54
gc_content,neon_8t,Large,100000,60.001,60006,6000600000,100008420.49,3565.7435456110156,3.565743545611016,0.059430049577835146,9.904017861186406e-06,70.17290323198662,83.37294484687337,0.8416747586506563,581,2025-11-02T18:59:59
quality_aggregation,naive,Medium,10000,60.001,39384,393840000,6563910.13,6093.5948275862065,6.093594827586206,0.10156160645833331,0.00025787529569960724,1.0,1.0,1.0,580,2025-11-02T19:01:04
quality_aggregation,neon,Medium,10000,60.0,800394,8003940000,133398996.2,12185.001739130435,12.185001739130435,0.20308336231884058,2.5372924124723644e-05,20.323160164026,10.163404676260031,1.9996409482245072,575,2025-11-02T19:02:09
quality_aggregation,neon_4t,Medium,10000,60.0,889259,8892590000,148209690.17,11525.659169550174,11.525659169550174,0.19209431949250289,2.160161656980732e-05,22.57957091670052,11.93777765966093,1.8914383866437203,578,2025-11-02T19:03:14
quality_aggregation,neon_8t,Medium,10000,60.0,462711,4627110000,77118440.02,3634.2916666666665,3.6342916666666665,0.06057152777777777,1.3090574414219195e-05,11.748900869642494,19.69931093470573,0.596411768339754,576,2025-11-02T19:04:19
quality_aggregation,naive,Large,100000,60.01,3898,389800000,6495631.73,5176.878048780488,5.1768780487804875,0.08629568102981029,0.00022138450751618853,1.0,1.0,1.0,574,2025-11-02T19:05:24
quality_aggregation,neon,Large,100000,60.0,49390,4939000000,82316251.94,13173.674782608696,13.173674782608696,0.2195612463768116,4.4454595338491915e-05,12.672712074568155,4.98001400823681,2.544714142090329,575,2025-11-02T19:06:30
quality_aggregation,neon_4t,Large,100000,60.0,113633,11363300000,189386789.44,12476.789565217392,12.476789565217391,0.20794649275362317,1.8299833037376746e-05,29.15647481614503,12.097624446300614,2.410099184808214,575,2025-11-02T19:07:35
quality_aggregation,neon_8t,Large,100000,60.0,124320,12432000000,207199598.41,345.06382978723406,0.34506382978723404,0.005751063829787234,4.626016594101701e-07,31.898594150846584,478.56401509337405,0.06665481136232684,47,2025-11-02T19:08:40
